Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
Riddick,2013-09-02,"Betrayed by his own kind and left for dead on a desolate planet, Riddick fights for survival against alien predators and becomes more powerful and dangerous than ever before. Soon bounty hunters from throughout the galaxy descend on Riddick only to find themselves pawns in his greater scheme for revenge. With his enemies right where he wants them, Riddick unleashes a vicious attack of vengeance before returning to his home planet of Furya to save it from destruction.",6.305,3977,en,Science Fiction;Action;Thriller,119,Survival Is His Revenge,38000000,98337295,One Race;Riddick Canada Productions;Radar Pictures;Universal Pictures;Mandate International;Radar Films,Canada;United States of America;United Kingdom,English,tt1411250
About Time,2013-09-04,"The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but they can change what happens and has happened in their own lives. Thus begins the start of a lesson in learning to appreciate life itself as it is, as it comes, and most importantly, the people living alongside us.",7.9,8295,en,Drama;Romance;Fantasy,123,What if every moment in life came with a second chance?,12000000,87100449,Universal Pictures;Relativity Media;Working Title Films,United Kingdom;United States of America,English,tt2194499
Pleasure or Pain,2013-09-05,A young designer falls under a man's erotic spell and is drawn into a world of sexual abandon from which she may never return.,4.9,76,en,Drama;Thriller,102,How far would you go... as far as you dare.,0,0,Visual Arts Entertainment;Last Night Productions;The Zalman King Company,United States of America,English,tt2091327
Begin Again,2013-09-07,"Gretta, a budding songwriter, finds herself alone after her boyfriend Dave ditches her. Her life gains purpose when Dan, a record label executive, notices her talent.",7.2,3700,en,Comedy;Music;Romance;Drama,104,You're only as strong as your next move.,8000000,63500000,Likely Story;Exclusive Media;Sycamore Pictures;Apatow Productions;Black Label Media,United States of America,English,tt1980929
The Green Inferno,2013-09-08,"A group of student activists travel from New York City to the Amazon to save the rainforest.  However, once they arrive in this vast green landscape, they soon discover that they are not alone… and that no good deed goes unpunished.",5.709,1385,en,Adventure;Horror,100,Fear will eat you alive.,5000000,12666449,Sobras International Pictures;Worldview Entertainment;Dragonfly Entertainment;BH Tilt,Canada;Chile;United States of America,English,tt2403021
Oculus,2013-09-08,A woman tries to exonerate her brother's murder conviction by proving that the crime was committed by a supernatural phenomenon.,6.45,2869,en,Horror,104,You see what it wants you to see.,5000000,44459951,MICA Entertainment;Intrepid Pictures;Blumhouse Productions;WWE Studios;Lasser Productions,United States of America,English,tt2388715
Don Jon,2013-09-12,"A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.",6.005,4214,en,Romance;Comedy;Drama,90,Everyone loves a happy ending.,3000000,0,Ram Bergman Productions;HitRecord Films;Voltage Pictures,United States of America,English,tt2229499
Prisoners,2013-09-19,"Keller Dover is facing every parent’s worst nightmare. His six-year-old daughter, Anna, is missing, together with her young friend, Joy, and as minutes turn to hours, panic sets in. The only lead is a dilapidated RV that had earlier been parked on their street.",8.098,11497,en,Drama;Thriller;Crime,153,Every moment matters.,46000000,122126687,Alcon Entertainment;8:38 Productions;Madhouse Entertainment,United States of America,English,tt1392214
Coherence,2013-09-19,"On the night of an astronomical anomaly, eight friends at a dinner party experience a troubling chain of reality bending events.",7.239,2804,en,Thriller;Science Fiction,89,Rearrange your brain.,50000,139745,Bellanova Films;Ugly Duckling Films,United Kingdom;United States of America,English,tt2866360
The Zero Theorem,2013-09-20,"A computer hacker's goal to discover the reason for human existence continually finds his work interrupted thanks to the Management; this time, they send a teenager and lusty love interest to distract him.",6.1,1168,en,Drama;Fantasy;Science Fiction,107,Nothing is Everything,8500000,770706,Le Pacte;Zanuck Independent;MediaPro Pictures;Zephyr Films;Picture Perfect Corporation;Wild Side Films;Voltage Pictures;Stage 6 Films;Asia & Europe Productions,France;Luxembourg;Romania;United Kingdom;United States of America,English,tt2333804
Filth,2013-09-23,A bigoted junkie cop suffering from borderline personality disorder and drug addiction manipulates and hallucinates his way through the festive season in a bid to secure promotion and win back his wife and daughter.,6.87,1671,en,Crime;Drama;Comedy,97,"It's a filthy job getting to the top, but someone's got to do it.",5000000,9114264,Egoli Tossell Film;Steel Mill Pictures;Filmgate Films;Logie Pictures;Altitude Film Entertainment;Film House Germany;Maven Screen Media;Entre Chien et Loup;Mollywood;Creative Scotland;Film i Väst;Lionsgate;Studio Mao,Belgium;Germany;Sweden;United Kingdom;United States of America,English,tt1450321
Gravity,2013-10-03,"Dr. Ryan Stone, a brilliant medical engineer on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space.",7.167,15090,en,Science Fiction;Thriller;Drama,91,Don't let go.,105000000,723192705,Esperanto Filmoj;Warner Bros. Pictures;Heyday Films,United Kingdom;United States of America,English,tt1454468
Red Wing,2013-10-04,"A socially thought-provoking and stirring love story based on the French novella, 'François Le Champi' by George Sand.",6.6,7,en,Drama,108,A Timeless Journey,0,0,,,,tt2265080
Blue Is the Warmest Color,2013-10-09,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire, to assert herself as a woman and as an adult. In front of others, Adele grows, seeks herself, loses herself, finds herself.",7.09,4490,fr,Romance;Drama,180,,4300000,19465835,Wild Bunch;SCOPE Pictures;Quat'sous Films;France 2 Cinéma;RTBF;Alcatraz Films;Vértigo Films,Belgium;France;Spain,Français;English,tt2278871
Captain Phillips,2013-10-10,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the US-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",7.55,6770,en,Action;Drama;Thriller,134,Out here survival is everything.,55000000,218791811,Columbia Pictures;Michael De Luca Productions;Scott Rudin Productions;Trigger Street Productions,United States of America,English;Somali,tt1535109
12 Years a Slave,2013-10-18,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",7.942,11070,en,Drama;History,134,The extraordinary true story of Solomon Northup,20000000,187000000,New Regency Pictures;Plan B Entertainment;River Road Entertainment;Regency Enterprises;Film4 Productions,United States of America;United Kingdom,English,tt2024544
Ender's Game,2013-10-24,"Based on the classic novel by Orson Scott Card, Ender's Game is the story of the Earth's most gifted children training to defend their homeplanet in the space wars of the future.",6.595,5703,en,Science Fiction;Action;Adventure,114,This is not a game.,110000000,125537191,Digital Domain;Chartoff Productions;Taleswapper;K/O Paper Products;OddLot Entertainment,United States of America,English,tt1731141
All Hallows' Eve,2013-10-29,"While watching two children on Halloween night, a babysitter finds an old VHS tape in the kids' trick or treat bag. The tape features three tales of terror, all linked together by a murderous clown.",5.743,415,en,Horror,82,Come Out and Play.,0,0,Ruthless Pictures,United States of America,English,tt2900624
Thor: The Dark World,2013-10-30,"Thor fights to restore order across the cosmos… but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.",6.528,17024,en,Action;Adventure;Fantasy,112,Delve into the darkness,170000000,644783140,Marvel Studios,United States of America,English,tt1981115
Dallas Buyers Club,2013-11-01,"Loosely based on the true-life tale of Ron Woodroof, a drug-taking, women-loving, homophobic man who in 1986 was diagnosed with HIV/AIDS and given thirty days to live.",7.9,8338,en,Drama;History,117,Dare to live.,5000000,55736588,Truth Entertainment;Voltage Pictures;CE;Evolution Independent;R² Films;Rainmaker Films;Focus Features,United States of America,English;日本語,tt0790636
Homefront,2013-11-12,"Phil Broker is a former DEA agent who has gone through a crisis after his action against a biker gang went horribly wrong and it cost the life of his boss' son. He is recently widowed and is left with a 9-years-old daughter, Maddy. He decides to quit the turbulent and demanding life of thrill for Maddy's sake and retires to a small town. His daughter fights off a boy who was bullying her at school and this sets in motion a round of events that end in his direct confrontation with the local Meth drug lord. His past history with the biker gang also enters the arena, making matters more complex. But he has a mission in his mind to protect his daughter and he is ready to pay any cost that it demands.",6.952,3420,en,Action;Thriller,100,How far would you go to protect your home?,22000000,51695362,Open Road Films;Millennium Media;Universal Pictures,United States of America,English,tt2312718
Oldboy,2013-11-14,A man has only three and a half days and limited resources to discover why he was imprisoned in a nondescript room for 20 years without any explanation.,5.939,1912,en,Drama;Thriller;Mystery;Action,104,Ask not why you were imprisoned. Ask why you were set free.,30000000,5200000,40 Acres and a Mule Filmworks;Vertigo Entertainment;Good Universe;FilmDistrict;Mandate International,United States of America,English,tt1321511
The Hunger Games: Catching Fire,2013-11-15,"Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark. Winning means that they must turn around and leave their family and close friends, embarking on a ""Victor's Tour"" of the districts. Along the way Katniss senses that a rebellion is simmering, but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games (The Quarter Quell) - a competition that could change Panem forever.",7.427,17066,en,Adventure;Action;Science Fiction,146,Remember who the enemy is.,130000000,865011746,Lionsgate;Color Force,United States of America,English,tt1951264
Water and Fire,2013-11-15,"A pretty young girl falls for an enigmatic, shy man who sweeps her off her feet. She becomes pregnant but is not allowed to tell him. His advisers are adamant. Back home, they have set up a wedding with the daughter of an antagonistic family and marriage will put an end to the blood feud between them.",7.927,164,tr,Drama;Romance,113,,0,0,,,Türkçe,tt3142958
Frozen,2013-11-20,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",7.247,16243,en,Animation;Family;Adventure;Fantasy,102,Only the act of true love will thaw a frozen heart.,150000000,1274219009,Walt Disney Pictures;Walt Disney Animation Studios,United States of America,English,tt2294629
Frozen,2013-11-20,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",7.247,16243,en,Animation;Family;Adventure;Fantasy,102,Only the act of true love will thaw a frozen heart.,150000000,1274219009,Walt Disney Pictures;Walt Disney Animation Studios,United States of America,English,tt2294629
American Hustle,2013-12-03,"A conman and his seductive partner are forced to work for a wild FBI agent, who pushes them into a world of Jersey power-brokers and the Mafia.",6.856,7128,en,Drama;Crime,138,Everyone hustles to survive.,40000000,251171807,Annapurna Pictures;Atlas Entertainment,United States of America,English,tt1800241
47 Ronin,2013-12-06,"Kai—an outcast—joins Oishi, the leader of 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honour to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors.",6.179,3746,en,Drama;Action;Fantasy,119,For courage. For loyalty. For honor.,175000000,151783839,Mid Atlantic Films;Stuber Pictures;Moving Picture Company;H2F Entertainment;Universal Pictures;Relativity Media,Japan;United States of America;United Kingdom,English;日本語,tt1335975
The Hobbit: The Desolation of Smaug,2013-12-11,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",7.577,12899,en,Fantasy;Adventure;Action,161,Beyond darkness... beyond desolation... lies the greatest danger of all.,250000000,958400000,New Line Cinema;Metro-Goldwyn-Mayer;WingNut Films;Warner Bros. Pictures,New Zealand;United States of America,English,tt1170358
Only Lovers Left Alive,2013-12-12,"A depressed musician reunites with his lover in the desolate streets of Detroit. Though their romance has endured several centuries, it is tested by the arrival of her capricious and unpredictable younger sister.",7.232,2134,en,Drama;Romance,123,,7000000,7600000,Recorded Picture Company;Pandora Film;Snow Wolf Produktion;Faliro House Productions;Le Pacte;HanWay Films,France;Germany;Greece;United Kingdom,Türkçe;العربية;English;Français,tt1714915
Her,2013-12-18,"In the not so distant future, Theodore, a lonely writer, purchases a newly developed operating system designed to meet the user's every need. To Theodore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",7.9,14034,en,Romance;Science Fiction;Drama,126,A Spike Jonze love story.,23000000,47351251,Annapurna Pictures,United States of America,English,tt1798709
The Secret Life of Walter Mitty,2013-12-18,A timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing.,7.185,7444,en,Adventure;Comedy;Drama;Fantasy,114,Stop dreaming. Start living.,90000000,188133322,20th Century Fox;TSG Entertainment;Samuel Goldwyn Films;Red Hour;New Line Cinema;Big Screen Productions;Down Productions;Ingenious Media,United Kingdom;United States of America,English;Íslenska;Español,tt0359950
Anchorman 2: The Legend Continues,2013-12-18,"With the 70s behind him, San Diego's top rated newsman, Ron Burgundy, returns to take New York's first 24-hour news channel by storm.",6.1,2499,en,Comedy,119,Bigger. Better. Burgundy-er.,50000000,173700000,Gary Sanchez Productions;Paramount Pictures;Apatow Productions,United States of America,English,tt1229340
