Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
Eyes Without a Face,1960-01-11,"Dr. Génessier is riddled with guilt after an accident that he caused disfigures the face of his daughter, the once beautiful Christiane, who outsiders believe is dead. Dr. Génessier, along with accomplice and laboratory assistant Louise, kidnaps young women and brings them to the Génessier mansion. After rendering his victims unconscious, Dr. Génessier removes their faces and attempts to graft them on to Christiane's.",7.589,689,fr,Drama;Horror;Thriller,84,Beautiful women were the victims of his fiendish facials.,0,58656,Lux Film;Champs-Élysées Productions,France;Italy,Français,tt0053459
Cash McCall,1960-01-20,"Wealthy hotshot Cash McCall makes his money by purchasing unsuccessful businesses, whipping them into shape and then selling them for a huge profit. When Cash comes across Austen Plastics, a small manufacturing corporation on its last legs, he realizes it might be a gamble to buy the company. But when Cash finds out that the company's owner is the father of his old flame, Lory, he buys the business just to get a second chance at romance.",6,13,en,Comedy;Drama;Romance,102,High finance and high romance are about to merge.,0,0,Warner Bros. Pictures,United States of America,English,tt0052680
Toby Tyler or Ten Weeks with a Circus,1960-01-21,"Angered at stern Uncle Daniel, Toby Tyler runs away from his foster home to join the circus, where he soon befriends Mr. Stubbs, the frisky chimpanzee. However, the circus isn't all fun and games when the evil candy vendor, Harry Tupper, convinces Toby that his Aunt Olive and Uncle Daniel don't love him or want him back. Toby resigns himself to circus life, but when he finally realizes that Tupper lied to him, and that his aunt and uncle truly love him, Toby happily returns home once again.",6.1,24,en,Drama;Family,95,Here comes...the HAPPIEST SHOW ON EARTH!,0,0,Walt Disney Productions,United States of America,English,tt0054390
Hell Bent for Leather,1960-02-01,"When Clay Santell stops in the town of Sutterville after having his horse stolen, he is mistaken by townspeople for a murderer named Travers. The townspeople capture Santell, and turn him over to lawman Harry Deckett. Deckett, who is tired of chasing the real Travers, decides to kill Santell and pass him off as Travers. Santell escapes from Deckett, taking lovely Janet Gifford hostage in the process. Janet comes to believe Santell's story, and helps him in his struggle to prove his real identity.",6.155,29,en,Western,82,Target For Terror!,0,0,Universal International Pictures,United States of America,English,tt0053899
The Rise and Fall of Legs Diamond,1960-02-03,"Jack Diamond and his sickly brother arrive in prohibition New York as jewelry thieves. After a spell in jail, the coldly ambitious Diamond hits on the idea of stealing from thieves himself and sets about getting close to gangster boss Arnold Rothstein to move in on his booze, girls, gambling, and drugs operations.",5.8,19,en,Crime;History,101,The Wildest Mobster of the Roaring Twenties!,0,0,United States Pictures,United States of America,Français;English;Italiano;Deutsch,tt0054243
Visit to a Small Planet,1960-02-04,"The weirdest alien of the galaxy pays a visit to Earth...  Jerry Lewis is Kreton, a childish alien who, against his teacher's will leaves his planet to visit the Earth, and lands in the backyard of a famous television journalist who doesn't believe in UFOs and aliens. Wanting to study humans but not able to fully understand them, Kreton makes a mess out of it, generating a lot of comic situations.",5.3,29,en,Comedy;Science Fiction;Family,85,The space race is on and Jerry's leading it... In reverse!,0,0,Paramount Pictures;Hal Wallis Productions,United States of America,English,tt0054446
La Dolce Vita,1960-02-05,"Episodic journey of journalist Marcello who struggles to find his place in the world, torn between the allure of Rome's elite social scene and the stifling domesticity offered by his girlfriend, all the while searching for a way to become a serious writer.",8.096,1795,it,Comedy;Drama,176,The world’s most talked about movie today!,0,19647000,Cinecittà Studios;Pathé Consortium Cinéma;Riama Film,France;Italy,Deutsch;English;Français;Italiano,tt0053779
The Virgin Spring,1960-02-08,"Devout Christians Töre and Märeta send their only daughter, the virginal Karin, and their foster daughter, the unrepentant Ingeri, to deliver candles to a distant church. On their way through the woods, the girls encounter a group of savage goat herders who brutally rape and murder Karin as Ingeri remains hidden. When the killers unwittingly seek refuge in the farmhouse of Töre and Märeta, Töre plots a fitting revenge.",7.827,594,sv,Drama;History,90,Ravished innocence... brings terrible revenge!,0,700000,SF Studios,Sweden,Deutsch;svenska,tt0053976
"Once More, with Feeling!",1960-02-11,"The wife of brilliant, but boisterous and ill-tempered conductor of the London Symphony puts up with his childishness, but the last straw is drawn when he begins an affair with a young pianist.",5.8,5,en,Comedy;Drama;Romance,92,,0,0,Stanley Donen Films;Columbia Pictures,United States of America,English;Français,tt0054141
The Hypnotic Eye,1960-02-17,"A mysterious hypnotist is suspected by the police of being responsible for a wave of young, attractive women committing various forms of self-mutilation.",5.955,22,en,Horror,79,Beware his hypnotic power that turns human flesh into helpless robots!,365000,0,Bloch/Woodfield Productions;Penguin Productions;Allied Artists Pictures,United States of America,English,tt0053931
The Bramble Bush,1960-02-24,A young doctor returns to his Massachusetts home town at the request of a terminally ill old friend.,5.5,4,en,Drama,93,You can't put out the human fires that burn in the Bramble Bush!,0,0,United States Pictures,United States of America,English,tt0053673
Comanche Station,1960-03-01,A white man trades with the Comanche for the release of a female stranger and the pair cross paths with three outlaws who have their eyes on the handsome reward for bringing her home and Comanche on the warpath.,6.563,103,en,Western,74,The One-Man War Against The Comancheros!,0,0,Ranown Pictures,United States of America,English,tt0053729
Heller in Pink Tights,1960-03-01,"Nineteenth century Wyoming: the wild West. Mild-mannered Tom Healy has a two-wagon theater troupe hounded by creditors because Angela, his leading lady and the object of his affection, constantly buys clothes. In Cheyenne, they meet with applause, so they hope to stay awhile: the theater owner likes Angela, and she keeps him on a string. She's also the object of the attentions of Mabry, a gunslinger who's owed money by the richest man in Bonanza.",5.741,27,en,Adventure;Romance;Western,100,Story of theatrical troupe that travels through the Old West.,0,0,Paramount Pictures,United States of America,English,tt0053902
Home from the Hill,1960-03-03,The wealthiest man in a Texas town decides to teach his teenage son how to hunt to make a man out of him.,6.8,56,en,Drama;Romance,150,When you talk about great motion pictures you will talk about this one!,0,0,Sol C. Siegel Productions;Metro-Goldwyn-Mayer,United States of America,English;Français,tt0053917
The 3rd Voice,1960-03-05,Marian Forbes has been having an affair with her boss and when he drops her for another woman. In an act of jealousy and greed she convinces an acquaintance to murder her former lover and then impersonate him just long enough to get their hands on a large sum of money.,5.8,10,en,Drama;Thriller;Crime,79,It'd diaboliKILL!,0,0,20th Century Fox,United States of America,Español;English,tt0054380
Seven Thieves,1960-03-11,A discredited professor and a sophisticated thief decide to join together and pick a team to pull off one last job--the casino vault in Monte Carlo.,6.6,29,en,Crime;Thriller,102,The robbery that rocked Monte Carlo!,0,0,20th Century Fox,United States of America,English;Français,tt0054295
Five Branded Women,1960-03-15,Five Yugoslav women who consorted with the German occupiers are publicly humiliated and banished by the Yugoslav partisans but they take up arms to fend for themselves.,6,19,en,Drama;War,115,All The Savage Ravishing Passions of War!,0,0,Paramount Pictures;DDL Cinematografica,Italy;United States of America,Deutsch;English,tt0053561
Please Don't Eat the Daisies,1960-03-31,"Drama critic Larry Mackay, his wife Kate and their four sons move from their crowded Manhattan apartment to an old house in the country. While housewife Kate settles into suburban life, Larry continues to enjoy the theater and party scene of New York.",6.15,70,en,Comedy;Family;Romance,112,The Uproarious Movie From The Big Best-Seller!,1775000,5150000,Euterpe Productions;Metro-Goldwyn-Mayer,United States of America,English,tt0054188
Twelve Hours to Kill,1960-04-02,"After witnessing a gangland murder, a young Greek immigrant flees for his life and hides out in a small town, but he soon realizes he's not as safe there as he thought.",3.8,4,en,Crime;Drama,83,Witness to a gangland slaughter!,0,0,,,English,tt0053557
Tall Story,1960-04-06,"A young insecure college sportsman is in trouble. He wants to marry his very straightforward girlfriend, but has no money. When he is offered a bribe to fix a game, he is torn even more about the matter.",5.1,10,en,Comedy,91,SUCH FUN! That college girl who can't help lovin' tall boys!...,0,0,Mansfield Productions,United States of America,English,tt0054367
Who Was That Lady?,1960-04-08,"In order to get back into the good graces with his wife with whom he has had a misunderstanding, a young chemistry professor concocts a wild story that he is an undercover FBI agent. To help him with his story he enlists the aid of a friend who is a TV writer. The wife swallows the story and the film's climax takes place in the sub-basements of the Empire State Building. The professor and his friend, believing themselves prisoners on an enemy submarine, patriotically try to scuttle the vessel and succeed only in rocking the building.",6.232,28,en,Comedy;Romance,115,A light-hearted leer at love among the adults!,0,0,Columbia Pictures;Ansark-Sidney,United States of America,English,tt0054473
Hell Is a City,1960-04-10,"Set in Manchester, heartland of England's industrial north, Don Starling escapes from jail becoming England's most wanted man. Ruthless villain Starling together with his cronies engineered a robbery that resulted in the violent death of a young girl. Detective Inspector Martineau has been assigned to hunt him down and bring him in. From seedy barrooms, through gambling dens the trail leads to an explosive climax high on the rooftops of the city.",6.696,28,en,Thriller;Crime,98,Murder money stained his hands....,0,0,Hammer Film Productions,United Kingdom,English,tt0053900
The Fugitive Kind,1960-04-14,"Val Xavier, a drifter of obscure origins, arrives at a small town and gets a job in a store run by Lady Torrence. Her husband, Jabe M. Torrance, is dying of cancer. Val is pursued by Carol Cutere, the enigmatic local tramp-of-good-family.",6.902,102,en,Romance;Drama,119,With a guitar and a snake skin jacket he drifted out of the rain...and into the lives of these two women...,0,0,Pennebaker Productions;United Artists,United States of America,English,tt0052832
Crack in the Mirror,1960-05-19,"Three stars appear in two separate but intertwined stories of romantic triangles gone wrong in this ambitious drama. In the first segment, Hagolin is a loutish construction worker with an unhappy wife, Eponine. The wife becomes involved with a swarthy working man, Larnier, and their passion knows no boundaries of caution or safety. Eventually, Eponine's and Larnier's lust drives them to madness, and they murder Hagolin. The second tale concerns an up-and-coming young lawyer, Claude, whose mentor is a highly successful veteran attorney, Lamerciere, with a beautiful young wife named Florence. Claude finds himself defending Larnier and Eponine, while Lamerciere dies of a heart attack after he discovers that Florence has been unfaithful to him with Claude.",7.5,2,en,Crime;Drama,97,,0,0,20th Century Fox,United States of America,English;Français,tt0053735
Pollyanna,1960-05-19,A young girl comes to an embittered town and confronts its attitude with her determination to see the best in life.,6.989,178,en,Comedy;Drama;Family,134,,2500000,3750000,Walt Disney Productions,United States of America,English,tt0054195
Wild River,1960-05-26,"A young bureaucrat for the Tennessee Valley Authority goes to rural Tennessee to oversee the building of a dam. He encounters opposition from the local people, in particular a farmer who objects to his employment (with pay) of local black laborers. Much of the plot revolves around the eviction of a stubborn octogenarian from her home on an island in the river, and the young man's love affair with that woman's widowed granddaughter.  Preserved by the Academy Film Archive in partnership with The Film Foundation.",7.3,84,en,Drama;Romance,110,The Wild Language... The Wild Hungers... The Wild Furies!,0,0,20th Century Fox,United States of America,English,tt0054476
The Gallant Hours,1960-06-13,"A semi-documentary dramatization of five weeks in the life of Vice Admiral William F. ""Bull"" Halsey, Jr., from his assignment to command the U.S. naval operations in the South Pacific to the Allied victory at Guadalcanal.",6.6,16,en,Drama;War,115,They Called Him the Bull of the Pacific...His Name Was Halsey..But the Enemy Spelled it Hell!,0,0,Cagney-Montgomery Productions,United States of America,English,tt0053849
A Terrible Beauty,1960-06-17,"In 1941, the IRA plans a campaign to coincide with the planned German invasion of England. Dermott O'Neil finds it easy to get into the IRA, but can he get out?",4.9,6,en,Drama;War,90,Robert Mitchum blows the screen to kingdom come in...,0,0,Raymond Stross Productions;D.R.M. Productions,United Kingdom;United States of America,English,tt0054120
The Story of Ruth,1960-06-17,"Ruth is an unusual character in the Bible. First she's a female protagonist, one of a select few there. Secondly her story gets its own book in the Old Testament, a short item of only four chapters. Lastly she's the first non-Hebrew protagonist in the Bible since Abraham sired the Hebrew people. It's a simple story in the Old Testament. Ruth is one of two Moabite women who marry the sons of Elimelech and Naomi. When Elimelech and sons Mahlon and Chillion die, leaving Naomi a widow with two widowed daughters-in-law, Naomi decides to return to Israel. One daughter-in-law, Orpah, bids her goodbye. Daughter-in-law Ruth however says she will not desert her. She's going to give up the life and culture of Moab and her people will be Naomi's people in the most famous line from the Book of Ruth.",7.3,43,en,Drama,132,"All The Spectacle Of Heathen Idolatry, Human Sacrifice, Pagan Revels - All The Beauty Of One Of The Bible's Timeless Love Stories!",0,0,20th Century Fox,United States of America,English,tt0054343
The Apartment,1960-06-21,"Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.",8.209,2225,en,Comedy;Drama;Romance,125,"Movie-wise, there has never been anything like it - laugh-wise, love-wise, or otherwise-wise!",3000000,25000000,The Mirisch Company;United Artists,United States of America,English,tt0053604
Psycho,1960-06-22,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",8.432,9853,en,Horror;Thriller;Mystery,109,A new— and altogether different— screen excitement!!!,806947,32000000,Shamley Productions,United States of America,English,tt0054215
Bells Are Ringing,1960-06-23,"Ella Peterson works in the basement office of Susanswerphone, a telephone answering service. She listens in on others' lives and adds some interest to her own humdrum existence by adopting different identities for her clients. They include an out-of-work Method actor, a dentist with musical yearnings, and in particular playwright Jeffrey Moss, who is suffering from writer's block and desperately needs a muse.",6.3,41,en,Music;Comedy;Romance,126,The screen is singing M.G.M. is bringing Broadway's Bell-Ringer of a Musical to the World!,0,0,Metro-Goldwyn-Mayer,United States of America,Français;English,tt0053645
"Murder, Inc.",1960-06-28,"Chronicles the rise and fall of the organised crime syndicate known as Murder, Incorporated, focusing on powerful boss Lepke and violent hit man Reles.",6.417,24,en,Crime;Drama,103,The Super-Corporation of Crime!,0,0,Princess Production Corporation;20th Century Fox,United States of America,English,tt0054102
Elmer Gantry,1960-07-07,"When hedonistic but charming con man Elmer Gantry meets the beautiful Sister Sharon Falconer, a roadside revivalist, he feigns piousness to join her act as a passionate preacher. The two make a successful onstage pair, and their chemistry extends to romance. Both the show and their relationship are threatened, however, when one of Gantry's ex-lovers decides that she has a score to settle with the charismatic performer.",7.256,165,en,Drama,146,If there was a dollar to be made—Gantry would make it … If there was a soul to be saved—Gantry would save it …,3000000,10400000,United Artists,United States of America,English,tt0053793
Inherit the Wind,1960-07-07,"Schoolteacher Bertram Cates is arrested for teaching his students Darwin's theory of evolution. The case receives national attention and one of the newspaper reporters, E.K. Hornbeck, arranges to bring in renowned defense attorney and atheist Henry Drummond to defend Cates. The prosecutor, Matthew Brady is a former presidential candidate, famous evangelist, and old adversary of Drummond.",7.705,396,en,Drama,128,It’s all about the fabulous “Monkey Trial” that rocked America!,0,0,Stanley Kramer Productions;United Artists,United States of America,English;Italiano,tt0053946
The Brides of Dracula,1960-07-07,"A young teacher on her way to a position in Transylvania helps a young man escape the shackles his mother has put on him. In so doing she innocently unleashes the horrors of the undead once again on the populace, including those at her school for ladies. Luckily for some, Dr. Van Helsing is already on his way.",6.743,214,en,Horror,86,He Turned Innocent Beauty Into Unspeakable Horror.,0,0,Hotspur Film Productions Ltd.;Hammer Film Productions,United Kingdom,English,tt0053677
The Rat Race,1960-07-10,"An aspiring musician arrives in New York in search of fame and fortune. He soon meets a taxi dancer, moves in with her, and before too long a romance develops.",6.5,13,en,Comedy;Drama;Romance,105,"CAUGHT...in the wild, frantic, furious...rat race!",0,0,Paramount Pictures,United States of America,English,tt0054230
From the Terrace,1960-07-15,"Alfred Eaton, an ambitious young executive, climbs to the top of New York's financial world as his marriage crumbles. At the brink of attaining his career goals, he is forced to choose between business success, married to the beautiful, but unfaithful Mary and starting over with his true love, the much younger Natalie.",6.8,46,en,Drama;Romance,149,You can't buy respectability by putting a wedding ring on it!,0,0,Linebrook,United States of America,English,tt0053841
13 Ghosts,1960-07-18,"Reclusive Dr. Zorba has died and left his mansion to his nephew Cyrus and his family. They will need to search the house to find the doctor's fortune, but along with the property they have also inherited the occultist's collection of 13 ghosts.",5.7,141,en,Horror,85,IT'S FUN TO BE SCARED BY 13 GHOSTS,0,0,William Castle Productions;Columbia Pictures,United States of America,English,tt0053559
House of Usher,1960-07-20,"Convinced that his family’s blood is tainted by generations of evil, Roderick Usher is hell-bent on destroying his sister Madeline’s wedding to prevent the cursed Usher bloodline from extending any further. When her fiancé, Philip Winthrop, arrives at the crumbling family estate to claim his bride, Roderick goes to ruthless lengths to keep them apart.",6.603,300,en,Horror;Drama,79,Edgar Allan Poe's demonic tale of The Ungodly... The Evil House of Usher,270000,1450000,Alta Vista Productions;American International Pictures,United States of America,English,tt0053925
The Bellboy,1960-07-20,"Stanley is a bellboy at the Fountainbleau Hotel in Miami Beach, where he performs his duties quietly and without a word to anyone. All he displays are facial expressions and a comedic slapstick style. And anything that can go wrong, does go wrong when Stanley is involved. One day, Jerry Lewis arrives at the hotel and some of the staff notice the striking resemblance.",6.325,106,en,Comedy,72,It's a Series of Silly Sequences and One of Jerry's All-Time Great Comedy Performances!,900000,10000000,Jerry Lewis Productions;Paramount Pictures,United States of America,English,tt0053644
Portrait in Black,1960-07-27,A pair of lovers plot to kill the woman's rich husband.,5.659,22,en,Drama;Thriller,112,They touched...and an evil spark was struck!,1400000,9200000,Ross Hunter Productions,United States of America,English,tt0054197
Last Woman on Earth,1960-08-05,"Harold Gern, a shady businessman from New York, is spending a holiday in Puerto Rico with his attractive wife Evelyn. They are joined by Martin Joyce, Harold's lawyer, who has come to discuss the latest indictment. Harold invites him along on a boat trip during which all three try out some newly bought scuba diving equipment. When they resurface, they find out that the world has changed forever.",4.4,52,en,Science Fiction;Drama;Mystery,71,They fought for the Ultimate Prize!,0,0,Roger Corman Productions;The Filmgroup,United States of America,English,tt0054017
The Little Shop of Horrors,1960-08-05,"Seymour works in a skid row florist shop and is in love with his beautiful co-worker, Audrey. He creates a new plant that not only talks but cannot survive without human flesh and blood.",6.232,386,en,Horror;Comedy;Fantasy,72,The funniest picture this year!,30000,0,Santa Clara Productions;Roger Corman Productions;The Filmgroup,United States of America,English,tt0054033
It Started in Naples,1960-08-06,"Mike Hamilton, a Philadelphia lawyer, comes to Naples to settle the estate of his long estranged ""black sheep"" brother. Once there, he discovers that the deceased has left an 8 year old boy who is being raised by Michael's sister-in-law Lucia Curcio. To make matters worse, Lucia happens to be a sexy nightclub dancer.",6.3,73,en,Comedy;Romance;Drama,100,You'll want to be there when the fun starts!,0,0,Capri Productions;Paramount Pictures,United States of America,English;Italiano,tt0053957
Dinosaurus!,1960-08-10,"After undersea explosions near a Caribbean island, prehistoric creatures are unleashed on the unsuspecting population.",5.821,42,en,Adventure;Fantasy;Science Fiction,85,,0,0,Fairview Productions,United States of America,Deutsch;English,tt0053768
Jungle Cat,1960-08-10,"This final True-Life Adventure would also appear to be one of the best, as we go into the South American jungle to observe the jaguar. Jungle Cat is more intimate than its kin, allowing individual animal characters to be developed. Central to the cast is a pair of jaguars (one ebony), whose fighting leads to love and, not long after, two babies (one resembling each parent).",7.6,18,en,Documentary;Family,69,,0,0,Walt Disney Productions,,English;Nederlands,tt0053977
Alakazam the Great!,1960-08-14,"A monkey king who learns the secrets of magic goes on a spree and causes no end of aggravation for the gods, who finally imprison him. In order to make up for all the trouble he's caused, he is sent on a mission to accompany a prince who is the son of the gods on a journey through a land filled with dangers, monsters, cannibals and demons.",5.4,14,ja,Animation;Fantasy;Adventure,88,Duel of the Prehistoric Beasts! Summit Meeting of the Monsters!,0,0,Toei Animation;American International Pictures;Alta Vista Productions,Japan,日本語,tt0054265
College Confidential,1960-08-26,"Sociology professor Steve MacInter is conducting a survey at Collins College about the mores and lifestyles of the young people. Some of the good citizens begin to find exception to his sociological survey when they find out it includes questions about sex. Reporter Betty Ducayne receives an anonymous tip that the good professor is engaging in corruption of youth and when Steve's past comes up to haunt him, all heck breaks loose.",5.8,2,en,Drama,91,No Film Ever Dared Touch This Theme Before!,0,0,Famous Players;Universal Pictures,United States of America,English,tt0053727
Let's Make Love,1960-09-08,"When billionaire Jean-Marc Clement learns that he is to be satirized in an off-Broadway revue, he passes himself off as an actor playing him in order to get closer to the beautiful star of the show, Amanda Dell.",6.381,158,en,Comedy;Romance,119,MARILYN MONROE and YVES MONTAND the French entertainment sensation! Doing what they do best in LET'S MAKE LOVE!,0,0,The Company of Artists;20th Century Fox,United States of America,العربية;Deutsch;Français;Italiano;English,tt0054022
September Storm,1960-09-09,"American fashion model Anne Traymore, swimming off the isle of Majorca, loses a bracelet, which the handsome Manuel del Rio Montoya returns to her. She believes he owns a beautiful yacht called The Swan, but he merely works on it for the wealthy Rene LeClerc.",4.8,6,en,Adventure;Drama,99,You have to SEE it to BELIEVE it!,0,0,Edward L. Alperson Productions;20th Century Fox,United States of America,English,tt0054290
L'Avventura,1960-09-14,"Claudia and Anna join Anna's lover, Sandro, on a boat trip to a remote volcanic island. When Anna goes missing, a search is launched. In the meantime, Sandro and Claudia become involved in a romance despite Anna's disappearance, though the relationship suffers from guilt and tension.",7.5,660,it,Drama;Mystery,144,A new adventure in filmmaking...,0,0,Cino del Duca;Societé Cinématographique Lyre;Produzioni Cinematografiche Europee (P.C.E.),France;Italy,Italiano;English,tt0053619
Under Ten Flags,1960-09-15,"""Under Ten Flags"" is a WWII movie loosely  based on the true story of the German navy commerce raider Atlantis, a converted Auxilliary Cruiser, and her Captain Bernhard Rogge.  Atlantis, camouflaged as a merchant ship, cruised the South Seas ( Atlantic, Indian &amp; Pacific) and sank or captured 22 merchant ships from May 1940 through November 22, 1941 when she was sunk by the British Cruiser HMS Devonshire.  Rogge was one of the few German officers of flag rank who were not arrested by the Allies after the war ended. This was due to the very proper and ethical way he exercised his command of Atlantis. After the war he advanced to Rear Admiral in the West German Navy and became a high-ranking NATO commander.",5.3,16,it,History;War,110,The killer-ship of a thousand disguises!,0,0,DDL Cinematografica;Paramount Pictures,Italy;United States of America,English,tt0054328
Sunrise at Campobello,1960-09-28,"The story of Franklin Roosevelt's bout with polio at age 40 in 1921 and how his family (and especially wife Eleanor) cope with his illness. From being stricken while vacationing at Campobello to his triumphant nominating speech for Al Smith's presidency in 1924, the story follows the various influences on his life and his determination to recover - based on the award winning Broadway play of the same name.",5.8,13,en,Drama;History,144,"The sun came up twice that day. Once in the heavens for all the world to see... once in the darkness for a man, his wife, and their children alone to share...",0,0,Dore Schary Productions,United States of America,English,tt0054354
The Approach of Autumn,1960-10-01,"A single mother from the country raising a 6th grade boy comes to Tokyo, leaves the boy to live with his uncle's family, runs a struggling grocery store, and works a local inn. The boy befriends a girl, the daughter of the innkeeper.",6.9,11,ja,Drama,79,,0,0,TOHO,Japan,日本語,tt0053578
Midnight Lace,1960-10-13,Kit Preston begins to unravel when she receives threatening telephone calls informing her she's soon to be murdered.,6.5,112,en,Mystery;Thriller,108,Even with the arms of her love around her...she still felt the menace of that voice in the night!,0,7400000,Arwin Productions;Universal International Pictures;Ross Hunter Productions,United States of America,English,tt0054084
Spartacus,1960-10-13,"The rebellious Thracian Spartacus, born and raised a slave, is sold to Gladiator trainer Batiatus. After weeks of being trained to kill for the arena, Spartacus turns on his owners and leads the other slaves in rebellion. As the rebels move from town to town, their numbers swell as escaped slaves join their ranks. Under the leadership of Spartacus, they make their way to southern Italy, where they will cross the sea and return to their homes.",7.551,2087,en,History;War;Drama;Adventure,197,They trained him to kill for their pleasure ... but they trained him a little too well,12000000,60000000,Bryna Productions;Universal Pictures,United States of America,English,tt0054331
The Alamo,1960-10-23,The legendary true story of a small band of soldiers who sacrificed their lives in hopeless combat against a massive army in order to prevent a tyrant from smashing the new Republic of Texas.,7.169,334,en,War;Adventure;History;Western,202,The Mission That Became a Fortress! The Fortress That Became a Shrine!,12000000,7900000,Batjac Productions;The Alamo Company,United States of America,Español;English,tt0053580
Ten Who Dared,1960-11-01,"The John Wesley Powell expedition of 1869 explores the dangerous Colorado River, withstands internal dissension, and finally discovers the Grand Canyon.",6,6,en,Adventure;Western,92,,0,0,Walt Disney Productions,United States of America,English,tt0054372
BUtterfield 8,1960-11-04,"Gloria Wandrous, a promiscuous fashion model, falls in love with Weston Liggett, the hard drinking son of a working class family who has married into money.",6.301,88,en,Drama,109,She must hold many men in her arms to find the one man she could love!,0,0,Afton-Linebrook,United States of America,English,tt0053622
North to Alaska,1960-11-07,"After striking gold in Alaska, the romantic George sends his womanizing partner Sam to bring his fiancée up from Seattle. When Sam finds that she has already married, he returns instead with Angel, a dancer originally from France.",6.606,108,en,Western;Comedy;Romance,122,"These were the adventures . . . fighting, laughing and brawling their way from Seattle to Nome!",3500000,0,20th Century Fox,United States of America,English,tt0054127
The Facts of Life,1960-11-14,"Middle-class suburbanites Larry and Kitty grow bored with their lives and respective marriages. Although each always found the other's manner grating, they fall in love when thrown together--without their spouses--on vacation. On returning home they try to break things off, only to grow closer. A holiday together will finally settle whether they should end their marriages.",5.2,25,en,Drama;Comedy;Romance,103,EXPOSED!,0,0,HLP,United States of America,English,tt0053810
G.I. Blues,1960-11-23,"Stationed in West Germany, soldier Tulsa McLean hopes to open up a nightclub when he gets out of the army. Tulsa may lack the capital for such a venture, but a chance to raise the cash comes his way through a friendly wager. Local dancer Lili (Juliet Prowse) is a notorious ice queen, and Tulsa bets everything he has that a friend of his can earn her affections. But, when that friend is dispatched to Alaska, it's up to Tulsa to melt Lili's heart.",6.442,69,en,Comedy;Music,104,Elvis scores... a singing triumph... and a romantic hit!,0,0,Hal Wallis Productions,United States of America,English,tt0053848
The 3 Worlds of Gulliver,1960-11-30,"Doctor Gulliver is poor, so nothing - not even his charming fiancée Elisabeth - keeps him in the town he lives. He signs on to a ship to India, but in a storm he's washed off the ship and ends up on an island, which is inhibitated by very tiny people. After he managed to convince them he's harmless and is accepted as one of their citizens, their king wants to use him in war against a people of giants. Compared to them, even Gulliver is a gnome.",6.6,70,en,Music;Adventure;Fantasy;Comedy;Family,100,In a World as different as Night and Day !,0,0,Columbia Pictures;Morningside Productions,United Kingdom;United States of America,Français;English;Italiano,tt0053882
Cimarron,1960-12-01,"The epic story of a family involved in the Oklahoma Land Rush of April 22, 1889.",6.102,59,en,Western,147,"The Story Of A Man, A Land and A Love!",0,0,Metro-Goldwyn-Mayer,United States of America,English,tt0053715
The Human Vapor,1960-12-11,"A librarian is subject to a scientific experiment which goes wrong and transforms him into 'The Human Vapour'. He uses his new ability to rob banks to fund the career of his girlfriend, a beautiful dancer. The Human Vapour is ruthless in his quest for money and kills anyone who stands in his way, especially police. He soon becomes Tokyo's most wanted criminal. Can he be stopped before he kills again?",6.4,15,ja,Science Fiction;Crime;Drama;Romance;Thriller,92,,0,0,TOHO,Japan,日本語,tt0053853
Exodus,1960-12-15,"Ari Ben Canaan, a passionate member of the Jewish paramilitary group Haganah, attempts to transport 600 Jewish refugees on a dangerous voyage from Cyprus to Palestine on a ship named the Exodus. He faces obstruction from British forces, who will not grant the ship passage to its destination.",6.6,193,en,Drama;War,207,The drama and the passion of one of the epic events of the twentieth century !,4000000,20000000,"Otto Preminger Films;United Artists;Carlyle-Alpina, S.A.",United States of America,English,tt0053804
Cinderfella,1960-12-18,"When his father dies, poor Fella is left at the mercy of his snobbish stepmother and her two no-good sons Maximilian and Rupert. As he slaves away for his nasty step-family, Maximilian and Rupert attempt to find a treasure Fella's father has supposedly hidden on the estate. Hoping to restore her dwindling fortunes, the stepmother plans a fancy ball in honor of the visiting Princess Charmein whom she hopes will marry Rupert. Eventually, Fella's Fairy Godfather shows up to convince him that he has a shot at winning the Princess himself.",6.2,104,en,Comedy;Fantasy;Music,91,Jerry Lewis is fabulous fun as...,3000000,7100000,Jerry Lewis Productions,United States of America,English,tt0053716
Flaming Star,1960-12-20,"Sam Burton's second wife is a Kiowa, and their son is therefore born mixed-race. When a struggle starts between the whites and the native Kiowas, the Burton family is split between loyalties.",6.436,86,en,Western,92,CHOOSE!... Between your white father and your Kiowa mother !,1700000,2000000,20th Century Fox,United States of America,English,tt0053825
